name,address,lon,lat
Slaughtered Lamb Pub,"182 W 4th St, Manhattan, NY",-74.0019252,40.7323493
Left Bank,"117 Perry St, Manhattan, NY",-74.0067386,40.7351876
While We Were Young,"183 W 10th St, Manhattan, NY",-74.0028479,40.7343755
Dante West Village,"551 Hudson St, Manhattan, NY",-74.0063025,40.7352609
Casa restaurant,"72 Bedford St, Manhattan, NY",-74.0047416,40.7314875
Buvette,"42 Grove St, Manhattan, NY",-74.0043284,40.7326259
Suprema Provisions,"305 Bleecker St, Manhattan, NY",-74.0036439,40.7326906
Shake Shack,"225 Varick St, Manhattan, NY",-74.0054439,40.7292205
Ofrenda,"113 7th Ave South, Manhattan, NY",-74.002372,40.7339272
Boucherie West Village,"99 7th Ave S, Manhattan, NY",-74.0028776,40.7330828
SUPREMA,"305 Bleecker St, Manhattan, NY",-74.0036439,40.7326906
Anfora,"34 8th Ave, Manhattan, NY",-74.0041054,40.7379287
En Japanese Brasserie,"435 Hudson St, Manhattan, NY",-74.0071658,40.730631
Malaparte,"753 Washington St, Manhattan, NY",-74.0080946,40.7368806
Llama San,"359 6th Ave, Manhattan, NY",-74.0008279,40.7322744
Due West,"189 W 10th St, Manhattan, NY",-74.0032395,40.7343315
Entwine,"765 Washington St, Manhattan, NY",-74.0079666,40.7373982
Mighty Quinn's Barbeque,"75 Greenwich Ave, Manhattan, NY",-74.0014332,40.7367065
Quality Eats,"19 Greenwich Ave, Manhattan, NY",-74.0000553,40.7345017
The Butcher's Daughter,"581 Hudson St, Manhattan, NY",-74.006155,40.736362
Pizzetteria Brunetti,"626 Hudson St, Manhattan, NY",-74.0053786,40.7382727
Leitao,"547 Hudson St, Manhattan, NY",-74.0063658,40.7349372
Kettle of Fish,"59 Christopher St, Manhattan, NY",-74.0023888,40.7338085
Jack's Wife Freda,"50 CARMINE ST, Manhattan, NY",-74.0035021,40.7298059
Baby Brasa,"173 7th Ave south, Manhattan, NY",-74.0012344,40.7359703
Joseph Leonard,"170 Waverly Place, Manhattan, NY",-74.0013486,40.7337356
The Garret,"296 Bleecker St, Manhattan, NY",-74.0038162,40.7323381
Menkoi Sato,"7 Cornelia St , Manhattan, NY",-74.0016198,40.7317786
The Butcher's Daughter,"581 Hudson St, Manhattan, NY",-74.006155,40.736362
Fairfax,"234 W 4th St, Manhattan, NY",-74.0032165,40.7343351
The Duplex,"61 Christopher St, Manhattan, NY",-74.0024825,40.7337976
The Lavaux Wine Bar,"630 Hudson St, Manhattan, NY",-74.0053442,40.7383739
L'Artusi,"228 W 10th St, Manhattan, NY",-74.0051144,40.7337081
Snack Taverna,"63 Bedford St, Manhattan, NY",-74.0048219,40.7310259
Fig & Olive,"420 W 13th St, Manhattan, NY",-74.0070608,40.7405062
New Istanbul Grill,"310 W 14th St, Manhattan, NY",-74.003404,40.7398318
Berimbau Brazilian Kitchen,"43 Carmine St, Manhattan, NY",-74.0036516,40.7300864
Caliente Cab Co,"61 7th Ave South, Manhattan, NY",-74.003548,40.7318202
The Leroy House,"430 Hudson St, Manhattan, NY",-74.006532,40.7306215
Roey's,"1 Perry St, Manhattan, NY",-74.0009892,40.7359857
Corner Bistro,"331 W 4th St, Manhattan, NY",-74.0037457,40.7379923
Bus Stop Cafe,"597 Hudson St, Manhattan, NY",-74.0059811,40.7370299
Waverly Restaurant,"385 6th Ave, Manhattan, NY",-74.0002799,40.7331624
Ghandi Cafe,"283  Bleecker St, Manhattan, NY",-74.0031348,40.7319933
Orient Express,"325 W 11th St, Manhattan, NY",-74.0074404,40.7357769
