"name","address","lon","lat"
"The Warren","131 CHRISTOPHER STREET, Manhattan, NY",-74.0067112,40.7331377
"Bandits","44 BEDFORD STREET, Manhattan, NY",-74.0041104,40.730423
"Cafe Kitsune","550 Hudson Street, Manhattan, NY",-74.0057975,40.7350735
"Jeju Noodle Bar","679 Greenwich St, Manhattan, NY",-74.007255,40.733031
"Mitla","213 6th Avenue, Manhattan, NY",-74.0034161,40.7275312
"Playhouse Bar","100A 7th Ave S, Manhattan, NY",-74.0034964,40.7327899
"Ghandi Cafe","283 BLEECKER STREET, Manhattan, NY",-74.0031348,40.7319933
"Mary's Fish Camp","246 West 4th Street, Manhattan, NY",-74.003223,40.734701
"Murray's Cheese Bar","254 Bleecker St, Manhattan, NY",-74.0030971,40.7310236
"Trattorie Pesce Pasta","262 Bleecker St, Manhattan, NY",-74.0031463,40.7311745
"Avena","260-264 6TH AVENUE, Manhattan, NY",-74.002161,40.728903
"Mad Morton","47 7th Ave South, Manhattan, NY",-73.9998336,40.7380107
